,,,,,,,,,
,,,,,,,,,
,Upset,,,,,,,,
,Over,,,,,,,,
,Under,,,GAMES ( *Conf. ),SPREAD,OVER / UNDER,SCORE,LOCATION,DATE / TIME (ET)
,No Odds,,,,,,,,
,,,,Georgia Tech vs. Virginia Tech *,VT -10.5,51.5,6 - 21,"Blacksburg, VA",26 Oct / 12:00 pm
,,,,North Carolina vs. Virginia 🧡💙 *,UVA -3.5,59.5,41 - 14,"Charlottesville, VA",26 Oct / 12:00 pm
,,,,Oregon State vs. Cal,CAL -10,49.5,7 - 44,"Berkeley, CA",26 Oct / 3:30 pm
,,,,Wake Forest vs. Stanford *,WAKE -2.5,53.5,27 - 24,"Stanford, CA",26 Oct / 3:30 pm
,,,,Florida State vs. Miami *,MIA -21,54.5,14 - 36,"Miami Gardens, FL",26 Oct / 7:00 pm
,,,,SMU vs. Duke *,SMU -11.5,48.5,28 - 27,"Durham, NC",26 Oct / 8:00 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 10,Stanford vs. NC State *,NCSU -10,46.5,28 - 59,"Raleigh, NC",2 Nov / 12:00 pm
,,,,Duke vs. Miami *,MIA -20.5,54.5,31 - 53,"Miami Gardens, FL",2 Nov / 12:00 pm
,,,,Virginia Tech vs. Syracuse *,VT -3.5,53.5,31 - 38,"Syracuse, NY",2 Nov / 12:00 pm
,,,,North Carolina vs. Florida State *,UNC -2.5,49.5,35 - 11,"Tallahassee, FL",2 Nov / 3:30 pm
,,,,Louisville vs. Clemson *,CLEM -10.5,62.5,33 - 21,"Clemson, SC",2 Nov / 7:30 pm
,,,,Pitt vs. SMU *,SMU -7.5,57.5,25 - 48,"Dallas, TX",2 Nov / 8:00 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 11,Cal vs. Wake Forest *,CAL -7.5,54.5,46 - 36,"Winston-Salem, NC",8 Nov / 8:00 pm
,,,,,,,,,
,,,,Syracuse vs. Boston College *,BC -5.5,51.5,31 - 37,"Chestnut Hill, MA",9 Nov / 12:00 pm
,,,,Miami vs. Georgia Tech *,MIA -9.5,64.5,23 - 28,"Atlanta, Georgia",9 Nov / 12:00 pm
,,,,Clemson vs. Virginia Tech *,CLEM -6.5,54.5,24 - 14,"Blacksburg, VA",9 Nov / 3:30 pm
,,,,Duke vs. NC State *,NSCU -3.5,51.5,29 - 19,"Raleigh, NC",9 Nov / 3:30 pm
,,,,Florida State vs. Notre Dame,ND -25.5,44.5,3 - 52,"South Bend, IN",9 Nov / 7:30 pm
,,,,Virginia 🧡💙 vs. Pitt *,PITT -7.5,56.5,24 - 19,"Pittsburgh, PA",9 Nov / 8:00 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 12,Clemson vs. Pitt *,CLEM -9.5,54.5,24 - 20,"Pittsburgh, PA",16 Nov / 12:00 pm
,,,,Syracuse vs. Cal *,CAL -8.5,55.5,33 - 25,"Berkeley, CA",16 Nov / 3:00 pm
,,,,Virginia 🧡💙 vs. Notre Dame,ND -23.5,50.5,14 - 35,"South Bend, IN",16 Nov / 3:30 pm
,,,,Boston College vs. SMU *,SMU -16.5,53.5,28 - 38,"Dallas, TX",16 Nov / 3:30 pm
,,,,Louisville vs. Stanford *,LOU -20.5,58.5,35 - 38,"Stanford, CA",16 Nov / 3:30 pm
,,,,Wake Forest vs. North Carolina *,UNC -11.5,63.5,24 - 31,"Chapel Hill, NC",16 Nov / 8:00 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 13,NC State vs. Georgia Tech *,GT -8.5,51.5,29 - 30,"Atlanta, GA",21 Nov / 7:30 pm
,,,,,,,,,
,,,,Wake Forest vs. Miami *,MIA -24,64.5,14 - 42,"Miami Gardens, FL",23 Nov / 12:00 pm
,,,,SMU vs. Virginia 🧡💙 *,SMU -10,57.5,33 - 7,"Charlottesville, VA",23 Nov / 12:00 pm
,,,,North Carolina vs. Boston College *,UNC -2.5,55.5,21 - 41,"Chestnut Hill, MA",23 Nov / 12:00 pm
,,,,UConn vs. Syracuse,SYR -10.5,54.5,24 - 31,"Syracuse, NY",23 Nov / 12:00 pm
